# i,j,covariance_ij
10,14,1.5086547129420731e-06
10,15,9.402016601382316e-06
10,16,1.6036873585510334e-05
10,17,3.294139985532138e-05
10,18,-4.0361115184863704e-05
10,19,-1.055955671434772e-05
10,20,-2.6641413749008305e-06
10,21,-1.0675944480398615e-05
10,22,-2.6022903283820638e-05
10,23,0.0
10,24,0.0
10,25,0.0
11,0,6.013970671835856e-07
11,1,8.080261933097197e-07
11,2,9.220554405107697e-07
11,3,-3.133836284678059e-06
11,4,-2.024603393040498e-06
11,5,3.297820612270174e-07
11,6,-7.588297514799505e-07
11,7,-6.502507037513463e-08
11,8,-1.3895078951490468e-06
11,9,1.3486013180561068e-06
11,10,-2.2293185922345236e-06
11,11,1.8142375991596454e-06
11,12,-2.510046689088801e-06
11,13,-3.3050526710566994e-06
11,14,-2.327221470270686e-06
11,15,-7.546070275228651e-06
11,16,-1.5028439176935196e-05
11,17,-2.876758006931192e-05
11,18,3.779815411903785e-05
11,19,1.599607639818475e-05
11,20,6.190671259725433e-06
11,21,4.662713925647834e-06
11,22,1.7657271441938406e-06
11,23,0.0
11,24,0.0
11,25,0.0
12,0,-1.3048309631052942e-06
12,1,-2.165682380090308e-06
12,2,-4.0367628800971505e-06
12,3,2.258220162677999e-06
12,4,-2.6088516997080267e-06
12,5,-7.596408932630594e-07
12,6,2.218343538899337e-06
12,7,-1.6264794583923794e-06
12,8,2.62487596666925e-06
12,9,-1.2519268840932051e-06
12,10,-1.295983227329854e-06
12,11,-2.510046689088801e-06
12,12,6.859976739539419e-06
12,13,1.1966396948339538e-05
12,14,4.26450311695193e-06
12,15,1.0340070300915082e-05
12,16,2.2671302971224044e-05
12,17,4.1662766343999674e-05
12,18,-5.7000185416106524e-05
12,19,-2.9165089255403476e-05
12,20,-1.2387269566157819e-05
12,21,-2.625940268859393e-06
12,22,1.600257494357497e-05
12,23,0.0
12,24,0.0
12,25,0.0
13,0,-2.127579951303674e-06
13,1,-3.759066599188633e-06
13,2,-7.706656757236645e-06
13,3,1.1741452731092028e-06
13,4,-8.12063766002747e-06
13,5,-1.2629939341349417e-06
13,6,3.932966170884613e-06
13,7,-3.628223640479507e-06
13,8,4.064638607063073e-06
13,9,-1.1167585421004429e-06
