# i,j,covariance_ij
10,18,-1.0740755548972046e-05
10,19,-1.2092395964473887e-05
10,20,-5.273941446299422e-06
10,21,-5.998108288900849e-06
10,22,7.210254719667534e-07
10,23,0.0
10,24,0.0
10,25,0.0
11,0,-6.558579647238476e-07
11,1,2.5694397444571883e-07
11,2,-2.476565815048123e-07
11,3,2.93548665230624e-07
11,4,8.660943249026268e-07
11,5,5.408729398476906e-07
11,6,1.157035337074129e-06
11,7,1.4000094250979531e-06
11,8,1.070967290910579e-06
11,9,8.589709239127319e-07
11,10,2.3031473232079214e-06
11,11,4.011114446456114e-06
11,12,2.7933664735756555e-06
11,13,2.1616674211482734e-06
11,14,1.4743710830856728e-06
11,15,6.160592270442682e-07
11,16,1.2732872137490237e-05
11,17,3.882673132048305e-05
11,18,-2.1623056723469525e-05
11,19,-2.2046242821744352e-05
11,20,-9.501597344190421e-06
11,21,-8.762856054707497e-06
11,22,4.0342562340080817e-07
11,23,0.0
11,24,0.0
11,25,0.0
12,0,-3.3266211819895107e-07
12,1,2.0769177311409547e-07
12,2,-8.546146712656949e-08
12,3,2.3005654072234025e-07
12,4,6.583118326477669e-07
12,5,4.830161451975981e-07
12,6,7.970140849915293e-07
12,7,9.558557459421229e-07
12,8,6.648242558969473e-07
12,9,2.6510358017958425e-07
12,10,1.0101709487421202e-06
12,11,2.7933664735756555e-06
12,12,4.412805961397634e-06
12,13,3.005673726678177e-06
12,14,1.1086668409777793e-06
12,15,5.050318667668869e-07
12,16,9.023422028724592e-06
12,17,2.825435589763693e-05
12,18,-1.5630149629999242e-05
12,19,-1.6027646499786032e-05
12,20,-6.821808971984783e-06
12,21,-8.513919869248865e-06
12,22,7.798045056972335e-07
12,23,0.0
12,24,0.0
12,25,0.0
13,0,-4.1063468856292436e-07
13,1,2.482069064854101e-07
13,2,-3.364917859412698e-07
13,3,1.3972140461502448e-07
13,4,7.918297024514935e-07
13,5,7.244447894081955e-07
13,6,1.3381169857694835e-06
13,7,1.5726263424898161e-06
13,8,1.0184278604751687e-06
13,9,4.884899688727864e-07
13,10,8.801917716610949e-07
13,11,2.1616674211482734e-06
13,12,3.005673726678177e-06
13,13,6.0460892847455085e-06
13,14,3.4427549444738153e-06
13,15,4.083856962796047e-07
13,16,1.3411120189159375e-05
13,17,4.085187778931525e-05
13,18,-2.4848208184912363e-05
13,19,-2.2983124457413312e-05
13,20,-9.87698141232977e-06
13,21,-6.944964677563172e-06
13,22,7.242337690882118e-08
13,23,0.0
13,24,0.0
13,25,0.0
14,0,-3.813005367604207e-07
14,1,1.9061363446845974e-07
14,2,-1.527342316769174e-07
14,3,3.616036778820024e-07
14,4,6.850991908452073e-07
14,5,5.829501657206621e-07
14,6,8.716583984046849e-07
14,7,9.848566006145935e-07
14,8,7.155967256076669e-07
14,9,5.405551900355073e-07
14,10,8.510169347123588e-07
14,11,1.4743710830856728e-06
14,12,1.1086668409777793e-06
14,13,3.4427549444738153e-06
14,14,5.308809647363209e-06
14,15,2.694642045339313e-06
14,16,9.550625131414476e-06
14,17,2.7811157623375942e-05
14,18,-1.7652871848730834e-05
14,19,-1.6472923626714323e-05
14,20,-7.141347928830584e-06
14,21,-8.17780997734868e-06
14,22,8.823389034730981e-07
14,23,0.0
14,24,0.0
14,25,0.0
15,0,-4.4611899071618813e-07
15,1,2.957070509690785e-08
15,2,-1.8023185123402852e-07
15,3,2.508120610713681e-07
15,4,3.342533057173626e-07
15,5,3.096885428507448e-07
15,6,5.871152367621554e-07
15,7,6.599012275015548e-07
15,8,4.479363614112217e-07
15,9,2.1330788879091626e-07
15,10,2.437494953019602e-07
15,11,6.160592270442682e-07
15,12,5.050318667668869e-07
15,13,4.083856962796047e-07
15,14,2.694642045339313e-06
15,15,6.984500841946659e-06
