# i,j,covariance_ij
9,22,2.9145211369159643e-06
9,23,-2.3758864724554285e-06
9,24,-1.000621674335291e-06
9,25,-3.5824075059931724e-07
10,0,8.321667240846272e-08
10,1,-4.4446619359411094e-07
10,2,-3.0505286189227447e-06
10,3,6.040450321649102e-07
10,4,-1.0859713139621975e-06
10,5,3.290569108214673e-07
10,6,2.1847313683721535e-07
10,7,-2.419220234793982e-07
10,8,-4.522399325591393e-07
10,9,2.758070047649582e-07
10,10,1.1935118200929487e-06
10,11,-1.053790344581539e-05
10,12,-4.08014817130741e-06
10,13,2.5379858487899754e-07
10,14,2.620629084315556e-06
10,15,3.907071362027371e-06
10,16,-1.60782872373806e-05
10,17,-2.3252139040321015e-05
10,18,7.38043387591751e-05
10,19,-4.360505964092865e-05
10,20,8.690776810670198e-06
10,21,1.1142306924606174e-05
10,22,1.2612135902002641e-05
10,23,-1.0281278354373287e-05
10,24,-4.3300343179394814e-06
10,25,-1.5502310053496443e-06
11,0,-7.347470248381252e-07
11,1,3.924336361125497e-06
11,2,2.6934107818388396e-05
11,3,-5.333309749192555e-06
11,4,9.588393394015723e-06
11,5,-2.9053503250138395e-06
11,6,-1.9289702730515844e-06
11,7,2.13600810810876e-06
11,8,3.992973226925504e-06
11,9,-2.4351896118350353e-06
11,10,-1.053790344581539e-05
11,11,9.304257164766049e-05
11,12,3.602495320952015e-05
11,13,-2.2408701255519796e-06
11,14,-2.313838521989857e-05
11,15,-3.449680185467156e-05
11,16,0.00014196041935169739
11,17,0.00020530068658766606
11,18,-0.0006516424744464351
11,19,0.0003850032320663083
11,20,-7.67336907420336e-05
11,21,-9.837904623851642e-05
11,22,-0.00011135664359859893
11,23,9.077674537777082e-05
11,24,3.8231279147247825e-05
11,25,1.3687492974985064e-05
12,0,-2.844851203260261e-07
12,1,1.519455355590651e-06
12,2,1.0428559278993344e-05
12,3,-2.064992731436078e-06
12,4,3.7125094164631672e-06
12,5,-1.1249163438027078e-06
12,6,-7.468738513848457e-07
12,7,8.270363854641865e-07
12,8,1.5460307160423905e-06
12,9,-9.4287582844205e-07
12,10,-4.08014817130741e-06
12,11,3.602495320952015e-05
12,12,1.3948424154296778e-05
12,13,-8.676376844711972e-07
12,14,-8.958901609547871e-06
